141 0 15 16 0
142 0 16 17 0
143 0 17 18 0
144 0 18 19 0
144 1 0 20 252
145 0 19 2 0
146 0 2 3 0
146 1 33554418 1 251
147 0 3 5 0
148 0 5 6 0
148 1 3 2 1
149 0 6 7 0
149 1 1 33554416 251
150 0 7 8 0
150 2 0 3 33554416
151 0 8 9 0
151 1 3 2 0
152 0 9 10 0
152 1 33554416 33554415 253
153 0 10 11 0
153 2 0 20 33554415
154 0 11 12 0
154 1 33554415 33554414 253
155 0 12 13 0
155 1 20 0 252
156 0 13 14 0
157 0 14 15 0
158 0 15 16 0
159 0 16 17 0
160 0 17 18 0
161 0 18 19 0
161 1 0 20 252
162 0 19 2 0
163 0 2 3 0
163 1 33554416 1 251
164 0 3 5 0
165 0 5 6 0
165 1 2 1 1
166 0 6 7 0
166 1 1 33554414 251
167 0 7 8 0
167 2 0 2 33554414
168 0 8 9 0
168 1 2 1 0
169 0 9 10 0
169 1 33554414 33554413 253
170 0 10 11 0
170 2 0 20 33554413
171 0 11 12 0
171 1 33554413 33554412 253
172 0 12 13 0
172 1 20 0 252
173 0 13 14 0
174 0 14 15 0
175 0 15 16 0
176 0 16 17 0
177 0 17 18 0
178 0 18 19 0
178 1 0 20 252
179 0 19 2 0
180 0 2 3 0
180 1 33554414 1 251
181 0 3 4 0
182 0 4 49 0
183 0 49 20 0
184 0 20 21 0
184 1 33554412 33554413 253
185 0 21 22 0
185 1 1 20 251
186 0 22 23 0
186 1 33554413 33554414 253
187 0 23 24 0
188 0 24 25 0
188 1 20 33554414 251
189 0 25 26 0
189 1 1 2 1
190 0 26 27 0
190 1 2 0 1
191 0 27 28 0
191 1 33554414 33554413 251
192 0 28 29 0
192 2 20 1 33554413
193 0 29 30 0
193 1 1 0 0
194 0 30 31 0
194 1 33554414 33554412 253
195 0 31 32 0
195 2 0 20 33554412
196 0 32 33 0
196 1 33554412 33554411 253
197 0 33 34 0
197 1 20 0 252
198 0 34 35 0
199 0 35 36 0
200 0 36 37 0
201 0 37 38 0
202 0 38 39 0
